word,word_length,starts_with,ends_with,has_definition,definition_count,part_of_speech,definition,examples,synset_name
100,3,1,0,True,2,n,ten 10s,,hundred.n.01
1000,4,1,0,True,2,n,the cardinal number that is the product of 10 and 100,,thousand.n.01
101,3,1,1,True,1,s,being one more than one hundred,,hundred_and_one.s.01
105,3,1,5,True,1,s,being five more than one hundred,,one_hundred_five.s.01
10th,4,1,h,True,1,s,coming next after the ninth and just before the eleventh in position,,tenth.s.01
110,3,1,0,True,1,s,being ten more than one hundred,,one_hundred_ten.s.01
115,3,1,5,True,1,s,being five more than one hundred ten,,one_hundred_fifteen.s.01
11th,4,1,h,True,1,s,coming next after the tenth and just before the twelfth in position,,eleventh.s.01
120,3,1,0,True,2,n,the cardinal number that is the product of ten and twelve,,long_hundred.n.01
125,3,1,5,True,1,s,being five more than one hundred twenty,,one_hundred_twenty-five.s.01
125th,5,1,h,True,1,s,the ordinal number of one hundred twenty-five in counting order,,hundred-and-twenty-fifth.s.01
12th,4,1,h,True,1,s,coming next after the eleventh and just before the thirteenth in position,,twelfth.s.01
130,3,1,0,True,1,s,being ten more than one hundred twenty,,one_hundred_thirty.s.01
135,3,1,5,True,1,s,being five more than one hundred thirty,,one_hundred_thirty-five.s.01
13th,4,1,h,True,1,s,coming next after the twelfth in position,,thirteenth.s.01
140,3,1,0,True,1,s,being ten more than one hundred thirty,,one_hundred_forty.s.01
144,3,1,4,True,1,n,twelve dozen,,gross.n.01
145,3,1,5,True,1,s,being five more than one hundred forty,,one_hundred_forty-five.s.01
14th,4,1,h,True,1,s,coming next after the thirteenth in position,,fourteenth.s.01
150,3,1,0,True,1,s,being ten more than one hundred forty,,one_hundred_fifty.s.01
155,3,1,5,True,1,s,being five more than one hundred fifty,,one_hundred_fifty-five.s.01
15th,4,1,h,True,1,s,coming next after the fourteenth and just before the sixteenth in position,,fifteenth.s.01
160,3,1,0,True,1,s,being ten more than one hundred fifty,,one_hundred_sixty.s.01
165,3,1,5,True,1,s,being five more than one hundred sixty,,one_hundred_sixty-five.s.01
16th,4,1,h,True,1,s,coming next after the fifteenth in position,,sixteenth.s.01
170,3,1,0,True,1,s,being ten more than one hundred sixty,,one_hundred_seventy.s.01
1728,4,1,8,True,1,n,a cardinal number equal to one dozen gross,,great_gross.n.01
175,3,1,5,True,1,s,being five more than one hundred seventy,,one_hundred_seventy-five.s.01
17th,4,1,h,True,1,s,coming next after the sixteenth in position,,seventeenth.s.01
